Animalia ,Arthropoda,Arachnida,Araneae,Dipluridae,Harmonicon,cerberus,,Harmonicon cerberus ,"Harmonicon cerberus Pedroso & Baptista, 2014",Aranha-caranguejeira,,,
Animalia ,Arthropoda,Arachnida,Araneae,Drymusidae,Drymusa,canhemabae,,Drymusa canhemabae ,"Drymusa canhemabae Brescovit, Bonaldo & Rheims, 2004",Falsa-aranha-violino,,,
Animalia ,Arthropoda,Arachnida,Araneae,Drymusidae,Drymusa,colligata,,Drymusa colligata ,"Drymusa colligata Bonaldo, Rheims & Brescovit, 2006",Falsa-aranha-violino,,,
Animalia ,Arthropoda,Arachnida,Araneae,Drymusidae,Drymusa,philomatica,,Drymusa philomatica ,"Drymusa philomatica Bonaldo, Rheims & Brescovit, 2006",Falsa-aranha-violino,,,
Animalia ,Arthropoda,Arachnida,Araneae,Drymusidae,Drymusa,spelunca,,Drymusa spelunca ,"Drymusa spelunca Bonaldo, Rheims & Brescovit, 2006",Falsa-aranha-violino,,,
Animalia ,Arthropoda,Arachnida,Araneae,Drymusidae,Drymusa,tobyi,,Drymusa tobyi ,"Drymusa tobyi Bonaldo, Rheims & Brescovit, 2006",Falsa-aranha-violino,,,
Animalia ,Arthropoda,Arachnida,Araneae,Eresidae,Stegodyphus,manaus,,Stegodyphus manaus ,"Stegodyphus manaus Kraus & Kraus, 1992",Aranha-eresídae,,,
Animalia ,Arthropoda,Arachnida,Araneae,Linyphiidae,Lepthyphantes,noronhensis,,Lepthyphantes noronhensis ,"Lepthyphantes noronhensis Rodrigues, Brescovit, Freitas & Vasconcelos, 2008",Linifídeo,,,
Animalia ,Arthropoda,Arachnida,Araneae,Mecicobothriidae,Mecicobothrium,baccai,,Mecicobothrium baccai ,"Mecicobothrium baccai Lucas, Indicatti, Brescovit & Francisco, 2006",Tarântula-anã,,,
Animalia ,Arthropoda,Arachnida,Araneae,Micropholcommatidae,Teutoniella,plaumanni,,Teutoniella plaumanni ,"Teutoniella plaumanni Brignoli, 1981     ",Desconhecido,,,
Animalia ,Arthropoda,Arachnida,Araneae,Nemesiidae,Hermacha,iricolor,,Hermacha iricolor ,"Hermacha iricolor Mello-Leitao, 1923",Desconhecido,,,
Animalia ,Arthropoda,Arachnida,Araneae,Ochyroceratidae,Ochyrocera,ibitipoca,,Ochyrocera ibitipoca ,"Ochyrocera ibitipoca Baptista, Gonzalez & Tourinho, 2008",Desconhecido,,,
Animalia ,Arthropoda,Arachnida,Araneae,Ochyroceratidae,Speocera,eleonorae,,Speocera eleonorae ,"Speocera eleonorae Baptista, 2003",Desconhecido,,,
